Sentence #,Word,POS,Tag
Sentence: 1,Penggambaran,,O
Sentence: 1,Peta,,O
Sentence: 1,Awal,,O
Sentence: 1,Pemilu,,O
Sentence: 1,2024,,O
Sentence: 1,Pendekatan,,O
Sentence: 1,Analisis,,O
Sentence: 1,Sentimen,,O
Sentence: 1,pada,,O
Sentence: 1,Data,,O
Sentence: 1,Twitter,,O
Sentence: 1,Nur,,O
Sentence: 1,Ulum,,O
Sentence: 1,Rahmanulloh,,O
Sentence: 1,(,,O
Sentence: 1,221810514,,O
Sentence: 1,",",,O
Sentence: 1,4SD2,,O
Sentence: 1,),,O
Sentence: 1,Dosen,,O
Sentence: 1,Pembimbing,,O
Sentence: 1,:,,O
Sentence: 1,Ibnu,,O
Sentence: 1,Santoso,,O
Sentence: 1,",",,O
Sentence: 1,S.S.T.,,O
Sentence: 1,",",,O
Sentence: 1,M.T.,,O
Sentence: 1,Ringkasan—,,O
Sentence: 1,Sebagai,,O
Sentence: 1,negara,,O
Sentence: 1,demokrasi,,O
Sentence: 1,",",,O
Sentence: 1,rakyat,,O
Sentence: 1,memegang,,O
Sentence: 1,peranan,,O
Sentence: 1,penting,,O
Sentence: 1,dalam,,O
Sentence: 1,penentuan,,O
Sentence: 1,kekuasaan,,O
Sentence: 1,di,,O
Sentence: 1,Indonesia.,,O
Sentence: 1,Agenda,,O
Sentence: 1,politik,,O
Sentence: 1,terdekat,,O
Sentence: 1,di,,O
Sentence: 1,Indonesia,,O
Sentence: 1,adalah,,O
Sentence: 1,Pemilu,,O
Sentence: 1,2024.,,O
Sentence: 1,Saat,,O
Sentence: 1,ini,,O
Sentence: 1,sudah,,O
Sentence: 1,dilakukan,,O
Sentence: 1,survei,,O
Sentence: 1,oleh,,O
Sentence: 1,beberapa,,O
Sentence: 1,lembaga,,O
Sentence: 1,survei,,O
Sentence: 1,swasta,,O
Sentence: 1,terkait,,O
Sentence: 1,peta,,O
Sentence: 1,politik,,O
Sentence: 1,2024,,O
Sentence: 1,yang,,O
Sentence: 1,memunculkan,,O
Sentence: 1,lima,,O
Sentence: 1,nama,,O
Sentence: 1,teratas,,O
Sentence: 1,",",,O
Sentence: 1,yaitu,,O
Sentence: 1,Prabowo,,O
Sentence: 1,Subianto,,O
Sentence: 1,",",,O
Sentence: 1,Ganjar,,O
Sentence: 1,Pranowo,,O
Sentence: 1,",",,O
Sentence: 1,Anies,,O
Sentence: 1,Baswedan,,O
Sentence: 1,",",,O
Sentence: 1,Sandiaga,,O
Sentence: 1,Uno,,O
Sentence: 1,",",,O
Sentence: 1,dan,,O
Sentence: 1,Ridwan,,O
Sentence: 1,Kamil.,,O
Sentence: 1,Penelitian,,O
Sentence: 1,ini,,O
Sentence: 1,bertujuan,,O
Sentence: 1,menggambarkan,,B-TUJUAN
Sentence: 1,peta,,I-TUJUAN
Sentence: 1,awal,,I-TUJUAN
Sentence: 1,Pemilu,,I-TUJUAN
Sentence: 1,2024,,I-TUJUAN
Sentence: 1,melalui,,I-TUJUAN
Sentence: 1,pendekatan,,I-TUJUAN
Sentence: 1,analisis,,I-TUJUAN
Sentence: 1,sentimen,,I-TUJUAN
Sentence: 1,pada,,I-TUJUAN
Sentence: 1,data,,I-TUJUAN
Sentence: 1,Twitter.,,I-TUJUAN
Sentence: 1,Hasil,,O
Sentence: 1,penelitian,,O
Sentence: 1,menunjukkan,,O
Sentence: 1,bahwa,,O
Sentence: 1,pada,,O
Sentence: 1,jumlah,,B-TEMUAN
Sentence: 1,tweet,,I-TEMUAN
Sentence: 1,sentimen,,I-TEMUAN
Sentence: 1,positif,,I-TEMUAN
Sentence: 1,serta,,I-TEMUAN
Sentence: 1,jumlah,,I-TEMUAN
Sentence: 1,akun,,I-TEMUAN
Sentence: 1,yang,,I-TEMUAN
Sentence: 1,pro,,I-TEMUAN
Sentence: 1,tertinggi,,I-TEMUAN
Sentence: 1,adalah,,I-TEMUAN
Sentence: 1,terhadap,,I-TEMUAN
Sentence: 1,Ganjar,,I-TEMUAN
Sentence: 1,Pranowo.,,I-TEMUAN
Sentence: 1,Sebaliknya,,I-TEMUAN
Sentence: 1,",",,I-TEMUAN
Sentence: 1,sentimen,,I-TEMUAN
Sentence: 1,negatif,,I-TEMUAN
Sentence: 1,dan,,I-TEMUAN
Sentence: 1,jumlah,,I-TEMUAN
Sentence: 1,akun,,I-TEMUAN
Sentence: 1,yang,,I-TEMUAN
Sentence: 1,kontra,,I-TEMUAN
Sentence: 1,tertinggi,,I-TEMUAN
Sentence: 1,adalah,,I-TEMUAN
Sentence: 1,terhadap,,I-TEMUAN
Sentence: 1,Prabowo,,I-TEMUAN
Sentence: 1,Subianto.,,I-TEMUAN
Sentence: 1,Banyak,,O
Sentence: 1,kata,,O
Sentence: 1,yang,,O
Sentence: 1,sering,,O
Sentence: 1,muncul,,O
Sentence: 1,pada,,O
Sentence: 1,sentimen,,O
Sentence: 1,positif,,O
Sentence: 1,tokoh,,O
Sentence: 1,berupa,,O
Sentence: 1,ungkapan,,O
Sentence: 1,harapan,,O
Sentence: 1,",",,O
Sentence: 1,doa,,O
Sentence: 1,",",,O
Sentence: 1,dan,,O
Sentence: 1,dukungan.,,O
Sentence: 1,Pada,,O
Sentence: 1,tweet,,O
Sentence: 1,negatif,,O
Sentence: 1,",",,O
Sentence: 1,kata,,O
Sentence: 1,yang,,O
Sentence: 1,banyak,,O
Sentence: 1,muncul,,O
Sentence: 1,berkaitan,,O
Sentence: 1,dengan,,O
Sentence: 1,bidang,,O
Sentence: 1,kerja,,O
Sentence: 1,atau,,O
Sentence: 1,wilayah,,O
Sentence: 1,kerja,,O
Sentence: 1,tokoh.,,O
Sentence: 1,Secara,,O
Sentence: 1,umum,,O
Sentence: 1,",",,O
Sentence: 1,kondisi,,O
Sentence: 1,demografi,,O
Sentence: 1,pengguna,,O
Sentence: 1,Twitter,,O
Sentence: 1,yang,,O
Sentence: 1,pro,,O
Sentence: 1,maupun,,O
Sentence: 1,kontra,,O
Sentence: 1,terhadap,,O
Sentence: 1,lima,,O
Sentence: 1,tokoh,,O
Sentence: 1,politik,,O
Sentence: 1,di,,O
Sentence: 1,antaranya,,O
Sentence: 1,:,,O
Sentence: 1,berlokasi,,O
Sentence: 1,di,,O
Sentence: 1,Pulau,,O
Sentence: 1,Jawa,,O
Sentence: 1,",",,O
Sentence: 1,pada,,O
Sentence: 1,kelompok,,O
Sentence: 1,umur,,O
Sentence: 1,19–29,,O
Sentence: 1,tahun,,O
Sentence: 1,",",,O
Sentence: 1,dan,,O
Sentence: 1,berjenis,,O
Sentence: 1,kelamin,,O
Sentence: 1,laki-laki.,,O
Sentence: 1,Kata,,O
Sentence: 1,Kunci—,,O
Sentence: 1,Politik,,O
Sentence: 1,",",,O
Sentence: 1,Pemilu,,O
Sentence: 1,2024,,O
Sentence: 1,",",,O
Sentence: 1,Analisis,,O
Sentence: 1,Sentimen,,O
Sentence: 1,[SEP],,O
Sentence: 1,Berdasarkan,,O
Sentence: 1,hasil,,O
Sentence: 1,penelitian,,O
Sentence: 1,",",,O
Sentence: 1,dapat,,O
Sentence: 1,ditarik,,O
Sentence: 1,kesimpulan,,O
Sentence: 1,sebagai,,O
Sentence: 1,berikut,,O
Sentence: 1,:,,O
Sentence: 1,1.,,O
Sentence: 1,Secara,,B-TEMUAN
Sentence: 1,umum,,I-TEMUAN
Sentence: 1,",",,I-TEMUAN
Sentence: 1,persentase,,I-TEMUAN
Sentence: 1,tweet,,I-TEMUAN
Sentence: 1,positif,,I-TEMUAN
Sentence: 1,tertinggi,,I-TEMUAN
Sentence: 1,terdapat,,I-TEMUAN
Sentence: 1,pada,,I-TEMUAN
Sentence: 1,tweet,,I-TEMUAN
Sentence: 1,yang,,I-TEMUAN
Sentence: 1,menandai,,I-TEMUAN
Sentence: 1,Ganjar,,I-TEMUAN
Sentence: 1,Pranowo,,I-TEMUAN
Sentence: 1,(,,I-TEMUAN
Sentence: 1,45.71,,I-TEMUAN
Sentence: 1,%,,I-TEMUAN
Sentence: 1,),,I-TEMUAN
Sentence: 1,",",,I-TEMUAN
Sentence: 1,sedangkan,,I-TEMUAN
Sentence: 1,tweet,,I-TEMUAN
Sentence: 1,negatif,,I-TEMUAN
Sentence: 1,tertinggi,,I-TEMUAN
Sentence: 1,terdapat,,I-TEMUAN
Sentence: 1,pada,,I-TEMUAN
Sentence: 1,tweet,,I-TEMUAN
Sentence: 1,yang,,I-TEMUAN
Sentence: 1,menandai,,I-TEMUAN
Sentence: 1,Prabowo,,I-TEMUAN
Sentence: 1,Subianto,,I-TEMUAN
Sentence: 1,(,,I-TEMUAN
Sentence: 1,51.01,,I-TEMUAN
Sentence: 1,%,,I-TEMUAN
Sentence: 1,),,I-TEMUAN
Sentence: 1,.,,I-TEMUAN
Sentence: 1,2.,,O
Sentence: 1,Kata,,O
Sentence: 1,yang,,O
Sentence: 1,banyak,,O
Sentence: 1,muncul,,O
Sentence: 1,pada,,O
Sentence: 1,tweet,,O
Sentence: 1,positif,,O
Sentence: 1,berupa,,O
Sentence: 1,ungkapan,,O
Sentence: 1,doa,,O
Sentence: 1,",",,O
Sentence: 1,harapan,,O
Sentence: 1,",",,O
Sentence: 1,serta,,O
Sentence: 1,dukungan.,,O
Sentence: 1,Khusus,,O
Sentence: 1,tweet,,O
Sentence: 1,yang,,O
Sentence: 1,menandai,,O
Sentence: 1,Prabowo,,O
Sentence: 1,Subianto,,O
Sentence: 1,berisi,,O
Sentence: 1,kata,,O
Sentence: 1,yang,,O
Sentence: 1,berkaitan,,O
Sentence: 1,dengan,,O
Sentence: 1,bidang,,O
Sentence: 1,pertahanan,,O
Sentence: 1,negara.,,O
Sentence: 1,3.,,O
Sentence: 1,Kata,,O
Sentence: 1,yang,,O
Sentence: 1,banyak,,O
Sentence: 1,muncul,,O
Sentence: 1,pada,,O
Sentence: 1,tweet,,O
